,,VIEW ALL SONGS AT YZYARCHIVE.org ,,
Era Name,Era Description,Image,Image Link,Era Range
"Before The College Dropout
(Get Well Soon..., I'm Good..., Kon The Louis Vuitton Don)","Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the ""Go Getters"" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.",,https://photos.fife.usercontent.google.com/pw/AP1GczN-FkksMXm-2KqasKdAnox8xZ1w8RzMMq6i6M9YL1NnDCIM4Lm9C7af=w800-h800-s-no-gm?authuser=0,"""(06/08/1977) (Kanye West is born in Atlanta)
(08/18/2002) (Kanye announces he signed to Roc-A-Fella)""	"
"""The College Dropout
(I'm Good...)""","Following his signing to Roc-A-Fella Records, Kanye released his debut studio album, The College Dropout. It features string arrangements, choirs, and his signature soul sampling, frequently branded as ""chipmunk soul"" for its sped-up and high-pitched nature. Contrary to the popular gangster-persona lyrics at the time, his songs mostly revolved around themes of family, materialism, religion, and racism. The inspiration for finally making his music came when he was in a near-fatal car crash.			",,https://photos.fife.usercontent.google.com/pw/AP1GczM_e5fwagWMx8ewjDyDYVtP9L0UWD9DLr1yzalnsXNu_CIC04JJ0TQD=w225-h225-s-no-gm?authuser=0,"""(08/18/2002) (Kanye announces he signed to Roc-A-Fella)
(02/10/2004) (The College Dropout officially releases)""	"
Late Registration,"Late Registration continues the social themes introduced in The College Dropout, but now with orchestral production influenced by co-producer Jon Brion. Kanye's newfound success allowed him to expand his ambitions from a single violinist to an entire string orchestra, mixing it with production including chipmunk soul and lullaby-like instrumentals. Lyrically, the album features a mix of more socially charged songs to more personal cuts. Production-wise, inspiration came from artists such as British trip-hop band Portishead and Fiona Apple's second album When The Pawn…                        ",,https://photos.fife.usercontent.google.com/pw/AP1GczOH2Fceinf6t2nnAItxSJqDbH8FaAU3e_yjx6lyyzvGarSJSAox6Cbt=w554-h554-s-no-gm?authuser=0,"""(02/10/2004) (The College Dropout officially releases)
(08/30/2005) (Late Registration officially releases)""	"
Graduation,"Graduation is the third studio album from Kanye West. Inspiration came from stadium tours, indie rock, and house music. It was a considerable departure from the sound Kanye had used on his first two studio albums, which featured samples and inspirations from the soul and orchestral music Kanye grew up alongside. This album included a much more electronic sound, featuring layering synthesizers. Lyrically, Kanye analyzes himself and talks about his life after becoming famous and how the media criticize him.			",,https://photos.fife.usercontent.google.com/pw/AP1GczPXP4ZHVvbD-p3-8Map-TvW9UlIzc1SHL2YeDi1ZA6K42gvJ9ugrvQr=w300-h300-s-no-gm?authuser=0,"""(08/30/2005) (Late Registration officially releases)
(09/11/2007) (Graduation officially releases)""	"
808s & Heartbreak,"Following the death of his mother due to complications after cosmetic surgery, his relationship with fiancé Alexis Phifer finally ending for good, and a struggle to adapt to his celebrity status, Kanye felt emotionally drained and lost. Kanye dealt with his pain by channeling it into a sonically stripped-down album, one dominated by his use of the titular Roland TR-808 drum machine and Auto-Tune. This album significantly influenced future hip-hop music, having influenced Drake, Future, Travis Scott, and more.                        ",,https://photos.fife.usercontent.google.com/pw/AP1GczP8TVwu1EESNTW6tl6KruCdnTONI7qEm96dY78RJlIhK29N5e8JeGvu=w447-h447-s-no-gm?authuser=0,"""(09/11/2007) (Graduation officially releases)
(11/24/2008) (808s & Heartbreak officially releases)""	"
"""Good Ass Job
(Winter Spring Summer Fall)""","As far back as 2003, Kanye had planned a four-album series revolving around going to college, with Good Ass Job concluding the series. The death of his mother derailed this plan, with his fourth album becoming the somber 808s & Heartbreak. People still expected Good Ass Job to release, though, as Kanye's next album as late as early 2010. When the wake of the 2009 VMAs incident happened, it would cause Good Ass Job not to release. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. The cover included for this era is the original cover for the single ""POWER.""			",,https://photos.fife.usercontent.google.com/pw/AP1GczN9eMnfLJb6fqLc1a7A4vjAcaUY9qRCrBqc0On_yDfaLsrWqhy3pnfM=w475-h475-s-no-gm?authuser=0,"""(11/24/2008) (808s & Heartbreak officially releases)
(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)""	"
"My Beautiful Dark Twisted Fantasy
(My Dark Twisted Fantasy)","Conceived during West's self-imposed exile following the 2009 VMA incident and further influenced by his deteriorating relationship with model Amber Rose, My Beautiful Dark Twisted Fantasy is a genre-bending masterpiece that explores the darker sides of celebrity, fame, and love. With grand production that sounds like the natural evolution of all the albums that came before it, this is seen by many as Kanye's best album, even earning an extremely rare 10/10 rating from Pitchfork.			",,https://photos.fife.usercontent.google.com/pw/AP1GczOCCinls86_t0BxR5-7wI4bcEBjV3HUpmbRyWaEXwSsvwTqhqMRMaKo=w447-h447-s-no-gm?authuser=0,"""(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)
(07/28/2010) (Kanye announces the album title is no longer Good Ass Job)
(11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)""	"
"""Watch The Throne
(Collaboration with JAY-Z as The Throne)""","Considered one of the most legendary collab albums of all time, Watch The Throne puts together two of the most legendary figures in music history for a full studio album. Kanye teams up with his big brother, JAY-Z, for an album, focused primarily on luxury, black excellence, and the American dream. The album's production also reflects that, and having been recorded by two future billionaires primarily in New York City's Tribeca Grand Hotel, how could it not?			",,https://photos.fife.usercontent.google.com/pw/AP1GczObHspU5mE7eRmTTKX-1Fe5WDtiT28nJtzUcUOBorDcazGRZxqf-pku=w300-h300-s-no-gm?authuser=0,"""(08/27/2010) (Kanye announces a """"joint-EP"""" with JAY-Z)
(11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)
(08/08/2011) (Watch The Throne officially releases)
(08/12/2011) (Watch The Throne (Deluxe) officially releases)""	"
"""Cruel Summer
(Collaboration with G.O.O.D. Music)""","A compilation of new songs from Kanye's label, G.O.O.D. Music, 2012's Cruel Summer is one of the most collaborative Kanye projects he accomplished. Featuring various collaborations with Pusha T, Big Sean, 2 Chainz, John Legend, and many more, this album spawned many big hits, including ""Mercy"" and the remix of the Chief Keef song ""Don't Like."" This album also marks the first time Kanye would work with Travis Scott, an at-the-time complete unknown with no mixtape to his name.			",,https://photos.fife.usercontent.google.com/pw/AP1GczOpKdj6Lxz_ffB1U3vlPI2BH-TUJA_K9GW2dMokq2vHt3cbjy2EYNps=s220-no?authuser=0,"""(08/12/2011) (Watch The Throne (Deluxe) officially releases)
(09/14/2012) (Cruel Summer officially releases)""	"
